DAY,Section(DE),ROOM1,11,ROOM2,12,ROOM3,13,ROOM4,15,ROOM5,16,ROOM6,17
Tuesday,ML CS-11,X,X,B-206,ML(DE),X,X,X,X,X,X,X,X
Tuesday,ML CS-12,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,ML CS-13,X,X,B-301,ML(DE),X,X,X,X,X,X,X,X
Tuesday,ML CS-14,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,ML CS-15,X,X,B-302,ML(DE),X,X,X,X,X,X,X,X
Tuesday,ML CS-16,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,ML CS-17,X,X,B-303,ML(DE),X,X,X,X,X,X,X,X
Tuesday,ML CS-18,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,ML CS-19,X,X,B-304,ML(DE),X,X,X,X,X,X,X,X
Tuesday,ML CS-20,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,ML CS-21,X,X,B-305,ML(DE),X,X,X,X,X,X,X,X
Tuesday,ML CS-22,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,ML CS-23,X,X,B-306,ML(DE),X,X,X,X,X,X,X,X
Tuesday,ML CS-24,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,ML CS-25,X,X,B-401,ML(DE),X,X,X,X,X,X,X,X
Tuesday,ML CS-26,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,ML CS-27,X,X,B-402,ML(DE),X,X,X,X,X,X,X,X
Tuesday,IOT CS-1,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,IOT CS-2,X,X,B-403,IOT(DE),X,X,X,X,X,X,X,X
Tuesday,IOT CS-3,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,IOT CS-4,X,X,B-404,IOT(DE),X,X,X,X,X,X,X,X
Tuesday,IOT CS-5,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,IOT CS-6,X,X,B-405,IOT(DE),X,X,X,X,X,X,X,X
Tuesday,IOT CS-7,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,IOT CS-8,X,X,B-406,IOT(DE),X,X,X,X,X,X,X,X
Tuesday,IOT CS-9,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,IOT CS-10,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,IOT CS-11,X,X,A-LH-003,IOT(DE),X,X,X,X,X,X,X,X
Tuesday,IOT CS-12,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,IOT CS-13,X,X,A-LH-004,IOT(DE),X,X,X,X,X,X,X,X
Tuesday,NLP CS-1,B-202,NLP(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,NLP CS-2,X,X,X,X,B-202,NLP(DE),X,X,X,X,X,X
Tuesday,NLP CS-3,B-203,NLP(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,NLP CS-4,X,X,X,X,B-203,NLP(DE),X,X,X,X,X,X
Tuesday,NLP CS-5,B-204,NLP(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,NLP CS-6,X,X,X,X,B-204,NLP(DE),X,X,X,X,X,X
Tuesday,DA CS-1,B-205,DA(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,DA CS-2,X,X,X,X,B-205,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-3,B-206,DA(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,DA CS-4,X,X,X,X,B-206,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-5,B-301,DA(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,DA CS-6,X,X,X,X,B-301,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-7,B-302,DA(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,DA CS-8,X,X,X,X,B-302,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-9,B-303,DA(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,DA CS-10,X,X,X,X,B-303,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-11,B-304,DA(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,DA CS-12,X,X,X,X,B-304,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-13,B-305,DA(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,DA CS-14,X,X,X,X,B-305,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-15,B-306,DA(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,DA CS-16,X,X,X,X,B-306,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-17,B-401,DA(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,DA CS-18,X,X,X,X,B-401,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-19,B-402,DA(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,DA CS-20,X,X,X,X,B-402,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-21,X,X,X,X,B-403,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-22,X,X,X,X,B-404,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-23,B-403,DA(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,DA CS-24,X,X,X,X,B-405,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-25,B-404,DA(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,DA CS-26,X,X,X,X,B-406,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-27,B-405,DA(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,DA CS-28,X,X,X,X,A-LH-003,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-29,X,X,X,X,A-LH-004,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-30,B-406,DA(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,DA CS-31,X,X,X,X,A-LH-005,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-32,A-LH-003,DA(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,DA CS-33,X,X,X,X,A-LH-009,DA(DE),X,X,X,X,X,X
Tuesday,DA CS-34,A-LH-004,DA(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,ML IT-1,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,ML IT-2,X,X,A-LH-005,ML(DE),X,X,X,X,X,X,X,X
Tuesday,ML IT-3,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,ML IT-4,X,X,A-LH-009,ML(DE),X,X,X,X,X,X,X,X
Tuesday,MC IT-1,X,X,X,X,A-LH-010,MC(DE),X,X,X,X,X,X
Tuesday,MC IT-2,A-LH-005,MC(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,MC IT-3,X,X,X,X,A-LH-104,MC(DE),X,X,X,X,X,X
Tuesday,OT IT-1,B-201,OT(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,ML CE-1,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,IOT CE-1,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,WSN CE-1,X,X,X,X,B-201,WSN(DE),X,X,X,X,X,X
Tuesday,SCS CE-1,A-LH-010,SCS(DE),X,X,X,X,X,X,X,X,X,X
Tuesday,DA SE-1,X,X,A-LH-010,DA(DE),X,X,X,X,X,X,X,X
Tuesday,DA SE-2,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,DMDW SE-1,X,X,X,X,A-LH-105,DMDW(DE),X,X,X,X,X,X
Tuesday,DMDW SE-2,A-LH-009,DMDW(DE),X,X,X,X,X,X,X,X,X,X
Wednesday,ML CS-1,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,ML CS-2,X,X,X,X,X,X,B-201,ML(DE),X,X,X,X
Wednesday,ML CS-3,X,X,X,X,X,X,X,X,X,X,X,X
